Competência	Código da terminologia	Nome da terminologia	Código do Termo	Termo	Data de início de vigência	Data de fim de vigência	Data de fim de implantação	Tipo de Ação
Mai/2013	22	Terminologia de Procedimentos e eventos em saúde	40501248	CITOGENÉTICA DE MEDULA ÓSSEA	10/10/2012	31/07/2013	30/11/2013	Inativado
Mai/2013	22	Terminologia de Procedimentos e eventos em saúde	40314251	CITOGENÉTICA DE MEDULA ÓSSEA	13/02/2009		15/10/2010	Incluído
Mai/2013	22	Terminologia de Procedimentos e eventos em saúde	40808200	MARCAÇÃO PRÉ-CIRÚRGICA POR NÓDULO - MÁXIMO DE 3 NÓDULOS POR MAMA, POR US (NÃO INCLUI EXAME DE IMAGEM)	10/10/2012		30/11/2013	Inativado
Mai/2013	22	Terminologia de Procedimentos e eventos em saúde	40808203	MARCAÇÃO PRÉ-CIRÚRGICA POR NÓDULO - MÁXIMO DE 3 NÓDULOS POR MAMA, POR US (NÃO INCLUI EXAME DE IMAGEM)	01/05/2013		30/11/2013	Incluído
Mai/2013	38	Terminologia de Mensagens (glosas, negativas e outras)	1025	BENEFICIÁRIO NÃO POSSUI COBERTURA PARA ASSISTÊNCIA ODONTOLÓGICA	01/05/2013		30/11/2013	Incluído
Mai/2013	38	Terminologia de Mensagens (glosas, negativas e outras)	1213	CBO-S (ESPECIALIDADE) INVÁLIDO	16/11/2006	30/04/2013	16/11/2006	Inativado por alteração
Mai/2013	38	Terminologia de Mensagens (glosas, negativas e outras)	1213	CBO (ESPECIALIDADE) INVÁLIDO	01/05/2013		16/11/2006	Alterado
Mai/2013	38	Terminologia de Mensagens (glosas, negativas e outras)	1322	COMPROVANTE PRESENCIAL OU GTO NÃO ENVIADO	01/05/2013		30/11/2013	Incluído
Mai/2013	38	Terminologia de Mensagens (glosas, negativas e outras)	1323	DATA PREENCHIDA INCORRETAMENTE	01/05/2013		30/11/2013	Incluído
Mai/2013	38	Terminologia de Mensagens (glosas, negativas e outras)	1437	SENHA DE AUTORIZAÇÃO CANCELADA	01/05/2013		30/11/2013	Incluído
Mai/2013	38	Terminologia de Mensagens (glosas, negativas e outras)	1438	PROCEDIMENTO SOLICITADO NÃO AUTORIZADO POR NÃO ATENDER A DIRETRIZ DE UTILIZAÇÃO (DUT) DO ROL DE PROCEDIMENTOS E EVENTOS EM SAÚDE DA ANS	01/05/2013		30/11/2013	Incluído
Mai/2013	38	Terminologia de Mensagens (glosas, negativas e outras)	1734	COBRADO CONTA ABERTA, PAGO O PACOTE CONFORME NEGOCIAÇÃO	01/05/2013		30/11/2013	Incluído
Mai/2013	38	Terminologia de Mensagens (glosas, negativas e outras)	1735	COBRANÇA DE PACOTE NÃO NEGOCIADO COM O PRESTADOR	01/05/2013		30/11/2013	Incluído
Mai/2013	38	Terminologia de Mensagens (glosas, negativas e outras)	1736	CONTA AGUARDANDO NEGOCIAÇÃO PARA PAGAMENTO	01/05/2013		30/11/2013	Incluído
Mai/2013	38	Terminologia de Mensagens (glosas, negativas e outras)	1737	DIFERENÇA DEVE SER COBRADA DO BENEFICIÁRIO PELO PRESTADOR COMO FRANQUIA	01/05/2013		30/11/2013	Incluído
Mai/2013	38	Terminologia de Mensagens (glosas, negativas e outras)	1738	DOCUMENTO FISCAL NÃO ENVIADO	01/05/2013		30/11/2013	Incluído
Mai/2013	38	Terminologia de Mensagens (glosas, negativas e outras)	1739	DUPLICIDADE DE CONTA DEVIDO A PERIODO COBRADO JÁ EFETUADO EM OUTRA PARCIAL	01/05/2013		30/11/2013	Incluído
Mai/2013	38	Terminologia de Mensagens (glosas, negativas e outras)	1740	ESTORNO DO VALOR DE PROCEDIMENTO PAGO	01/05/2013		30/11/2013	Incluído
Mai/2013	38	Terminologia de Mensagens (glosas, negativas e outras)	1741	HONORÁRIO OU PROCEDIMENTO JÁ PAGO A OUTRO PRESTADOR	01/05/2013		30/11/2013	Incluído
Mai/2013	38	Terminologia de Mensagens (glosas, negativas e outras)	1742	HONORÁRIO OU PROCEDIMENTO JÁ PAGO POR REEMBOLSO AO BENEFICIÁRIO	01/05/2013		30/11/2013	Incluído
Mai/2013	38	Terminologia de Mensagens (glosas, negativas e outras)	1743	NÃO HÁ NEGOCIAÇÃO PARA COBRANÇA DO KIT, DISCRIMINAR POR ITENS	01/05/2013		30/11/2013	Incluído
