Competência	Código da terminologia	Nome da terminologia	Código do Termo	Termo	Data de início de vigência	Data de fim de vigência	Data de fim de implantação	Tipo de Ação
Julho/2021	22	Terminologia de procedimentos e eventos em saúde	30307147	Tratamento ocular quimioterápico com anti-angiogênico. Programa de 24 meses. Uma sessão por mês (por sessão)	10/10/2012	31/07/2021	31/08/2014	Inativado por alteração
Julho/2021	22	Terminologia de procedimentos e eventos em saúde	30912156	Punção saco pericárdico com introdução de cateter multipolar no espaço pericárdico	13/02/2009	31/10/2021	15/10/2010	Inativado
Julho/2021	22	Terminologia de procedimentos e eventos em saúde	30912164	Punção transeptal com introdução de cateter multipolar nas camaras esquerdas e/ou veias pulmonares	13/02/2009	31/10/2021	15/10/2010	Inativado
Julho/2021	22	Terminologia de procedimentos e eventos em saúde	31303102	Histerectomia total - qualquer via	13/02/2009	31/07/2021	15/10/2010	Inativado por alteração
Julho/2021	22	Terminologia de procedimentos e eventos em saúde	31303188	Histeroscopia com ressectoscópio para miomectomia, polipectomia, metroplastia, endometrectomia e ressecção de sinéquias	13/02/2009	31/07/2021	15/10/2010	Inativado por alteração
Julho/2021	22	Terminologia de procedimentos e eventos em saúde	31309046	Cerclagem do colo uterino (qualquer técnica)	13/02/2009	31/07/2021	15/10/2010	Inativado por alteração
Julho/2021	22	Terminologia de procedimentos e eventos em saúde	40403122	Exsanguíneo  transfusão	13/02/2009	31/10/2021	15/10/2010	Inativado
Julho/2021	22	Terminologia de procedimentos e eventos em saúde	40403300	Operação de processadora automática de sangue em aférese	13/02/2009	31/10/2021	15/10/2010	Inativado
Julho/2021	22	Terminologia de procedimentos e eventos em saúde	40403319	Operação de processadora automática de sangue em autotransfusão intra-operatória	13/02/2009	31/10/2021	15/10/2010	Inativado
Julho/2021	22	Terminologia de procedimentos e eventos em saúde	40403866	Transfusão fetal intra-uterina	13/02/2009	31/10/2021	15/10/2010	Inativado
Julho/2021	22	Terminologia de procedimentos e eventos em saúde	40404021	Aférese para paciente ABO incompatível	09/09/2010	31/10/2021	15/10/2010	Inativado
Julho/2021	22	Terminologia de procedimentos e eventos em saúde	40404102	Depleção de plasma em TCTH alogênicos com incompatibilidade ABO menor	09/09/2010	31/10/2021	15/10/2010	Inativado
Julho/2021	22	Terminologia de procedimentos e eventos em saúde	40404250	Sedimentação de hemácias em TCTH alogênicos com incompatibilidade ABO maior	09/09/2010	31/10/2021	15/10/2010	Inativado
Julho/2021	22	Terminologia de procedimentos e eventos em saúde	40809153	Punção biópsia/aspirativa de órgão ou estrutura orientada por RX (não inclui o exame de base)	10/10/2012	31/07/2021	31/08/2014	Inativado por alteração
Julho/2021	22	Terminologia de procedimentos e eventos em saúde	40809161	Punção biópsia/aspirativa de órgão ou estrutura orientada por US (não inclui o exame de base)	10/10/2012	31/07/2021	31/08/2014	Inativado por alteração
Julho/2021	22	Terminologia de procedimentos e eventos em saúde	40809170	Punção biópsia/aspirativa de órgão ou estrutura orientada por TC (não inclui o exame de base)	10/10/2012	31/07/2021	31/08/2014	Inativado por alteração
Julho/2021	22	Terminologia de procedimentos e eventos em saúde	40809188	Punção biópsia/aspirativa de órgão ou estrutura orientada por RM (não inclui o exame de base)	10/10/2012	31/07/2021	31/08/2014	Inativado por alteração
Julho/2021	22	Terminologia de procedimentos e eventos em saúde	30912270	Ateromectomia rotacional, direcional ou extracional, com ou sem angioplastia por balão, com ou sem implante de stent	01/07/2021	31/07/2021	15/10/2010	Inativado por Alteração
Julho/2021	22	Terminologia de procedimentos e eventos em saúde	30912270	Aterectomia rotacional, direcional ou extracional, com ou sem angioplastia por balão, com ou sem implante de stent	01/08/2021		15/10/2010	Alterado
Julho/2021	22	Terminologia de procedimentos e eventos em saúde	20101252	Ativação do implante coclear unilateral	01/08/2021		31/10/2021	Incluído
Julho/2021	22	Terminologia de procedimentos e eventos em saúde	20101260	Mapeamento e balanceamento dos eletrodos do implante coclear unilateral	01/08/2021		31/10/2021	Incluído
Julho/2021	22	Terminologia de procedimentos e eventos em saúde	20101295	Troca do processador de áudio do implante coclear unilateral	01/08/2021		31/10/2021	Incluído
Julho/2021	22	Terminologia de procedimentos e eventos em saúde	20101422	Monoximetria não invasiva (Coex)	01/08/2021		31/10/2021	Incluído
Julho/2021	22	Terminologia de procedimentos e eventos em saúde	30303117	Crioterapia conjuntival	01/08/2021		31/10/2021	Incluído
Julho/2021	22	Terminologia de procedimentos e eventos em saúde	30310130	Iridoplastia periférica a laser	01/08/2021		31/10/2021	Incluído
Julho/2021	22	Terminologia de procedimentos e eventos em saúde	30404169	Substituição do ímã do implante coclear unilateral	01/08/2021		31/10/2021	Incluído
Julho/2021	22	Terminologia de procedimentos e eventos em saúde	30404185	Neurotelemetria transoperatória do implante coclear unilateral	01/08/2021		31/10/2021	Incluído
Julho/2021	22	Terminologia de procedimentos e eventos em saúde	30602459	Retirada de prótese de mama - unilateral	01/08/2021		31/10/2021	Incluído
Julho/2021	22	Terminologia de procedimentos e eventos em saúde	30912326	Reparo transcateter valvar mitral 	01/08/2021		31/10/2021	Incluído
Julho/2021	22	Terminologia de procedimentos e eventos em saúde	30912334	Implante transcateter de válvula pulmonar (ITVP)	01/08/2021		31/10/2021	Incluído
Julho/2021	22	Terminologia de procedimentos e eventos em saúde	31004350	Desarterialização hemorroidária transanal com mucopexia guiada por doppler	01/08/2021		31/10/2021	Incluído
Julho/2021	22	Terminologia de procedimentos e eventos em saúde	31104304	Retirada de implante no tratamento da incontinência urinária masculina - esfincter artificial	01/08/2021		31/10/2021	Incluído
Julho/2021	22	Terminologia de procedimentos e eventos em saúde	31303331	Implante subdérmico hormonal para contracepção - inserção	01/08/2021		31/10/2021	Incluído
Julho/2021	22	Terminologia de procedimentos e eventos em saúde	31309240	Cordocentese guiada por ultrassonografia	01/08/2021		31/10/2021	Incluído
Julho/2021	22	Terminologia de procedimentos e eventos em saúde	31401414	Localização/intervenção estereotáxica de lesões/estruturas de crânio por neuronavegação com intervenção	01/08/2021		31/10/2021	Incluído
Julho/2021	22	Terminologia de procedimentos e eventos em saúde	40103919	Vídeoeletroencefalograma contínua invasiva para avaliação de tratamento cirúrgico de epilepsia - a cada 12 horas	01/08/2021		31/10/2021	Incluído
Julho/2021	22	Terminologia de procedimentos e eventos em saúde	40103927	Teste de impulso cefálico ou vHIT (Vídeo Head Impulse Teste (Vídeo HT))	01/08/2021		31/10/2021	Incluído
Julho/2021	22	Terminologia de procedimentos e eventos em saúde	40202801	Colocação endoscópica de balão intragástrco de curta permanência (6 meses)	01/08/2021		31/10/2021	Incluído
Julho/2021	22	Terminologia de procedimentos e eventos em saúde	40202810	Colocação endoscópica de balão intragástrico de longa permanência (9 - 12 meses)	01/08/2021		31/10/2021	Incluído
Julho/2021	22	Terminologia de procedimentos e eventos em saúde	40202828	Calibração endoscópica de balão de longa permanência	01/08/2021		31/10/2021	Incluído
Julho/2021	22	Terminologia de procedimentos e eventos em saúde	40202836	Retirada endoscópica de balão intragástrico	01/08/2021		31/10/2021	Incluído
Julho/2021	22	Terminologia de procedimentos e eventos em saúde	40314570	Identificação multiplex por PCR painel com até 25 agentes	01/08/2021		31/10/2021	Incluído
Julho/2021	22	Terminologia de procedimentos e eventos em saúde	40314588	Identificação multiplex por PCR painel com 26 a 40 agentes	01/08/2021		31/10/2021	Incluído
Julho/2021	22	Terminologia de procedimentos e eventos em saúde	40314596	Quantificação de TRECs e KRECs	01/08/2021		31/10/2021	Incluído
Julho/2021	22	Terminologia de procedimentos e eventos em saúde	40314600	Teste molecular para nódulos de tireoide por perfil de microRNA (miRNA), por nódulo	01/08/2021		31/10/2021	Incluído
Julho/2021	22	Terminologia de procedimentos e eventos em saúde	40314626	PCR em tempo real para vírus influenza A e B	01/08/2021		31/10/2021	Incluído
Julho/2021	22	Terminologia de procedimentos e eventos em saúde	40317498	Dosagem de p2PSA	01/08/2021		31/10/2021	Incluído
Julho/2021	22	Terminologia de procedimentos e eventos em saúde	40324656	Anticorpo anti-NMDAR	01/08/2021		31/10/2021	Incluído
Julho/2021	22	Terminologia de procedimentos e eventos em saúde	40324664	Anticorpo anti-MOG	01/08/2021		31/10/2021	Incluído
Julho/2021	22	Terminologia de procedimentos e eventos em saúde	40324672	Anticorpo anti-AMPAR, dosagem sangue	01/08/2021		31/10/2021	Incluído
Julho/2021	22	Terminologia de procedimentos e eventos em saúde	40324680	Anticorpos anti-GABAR	01/08/2021		31/10/2021	Incluído
Julho/2021	22	Terminologia de procedimentos e eventos em saúde	40324699	Anticorpos anti-LGI1, dosagem sangue	01/08/2021		31/10/2021	Incluído
Julho/2021	22	Terminologia de procedimentos e eventos em saúde	40324702	Anticorpos anti-CASPR2	01/08/2021		31/10/2021	Incluído
Julho/2021	22	Terminologia de procedimentos e eventos em saúde	40324710	Anticorpos anti-HMG-CoA redutase (anti-hmgcoar), dosagem	01/08/2021		31/10/2021	Incluído
Julho/2021	22	Terminologia de procedimentos e eventos em saúde	40324729	Anticorpos anti tiroquinase músculo específica (anti-MUSK), dosagem	01/08/2021		31/10/2021	Incluído
Julho/2021	22	Terminologia de procedimentos e eventos em saúde	40324737	Anticorpos anti-VGKC, dosagem	01/08/2021		31/10/2021	Incluído
Julho/2021	22	Terminologia de procedimentos e eventos em saúde	40324745	Anticorpo anti-LGi1, dosagem líquor	01/08/2021		31/10/2021	Incluído
Julho/2021	22	Terminologia de procedimentos e eventos em saúde	40324753	Anticorpo anti-AMPAR, dosagem líquor	01/08/2021		31/10/2021	Incluído
Julho/2021	22	Terminologia de procedimentos e eventos em saúde	40324761	Anti HU (ANNA1), dosagem líquor	01/08/2021		31/10/2021	Incluído
Julho/2021	22	Terminologia de procedimentos e eventos em saúde	40402223	Operação  de  processadora de  sangue  em  fotoaférese  extra  corpórea  (FEC) 	01/08/2021		31/10/2021	Incluído
Julho/2021	22	Terminologia de procedimentos e eventos em saúde	40404579	Identificação de anticorpos anti-eritrocitários a frio em gel	01/08/2021		31/10/2021	Incluído
Julho/2021	22	Terminologia de procedimentos e eventos em saúde	40503860	Captura/Amplificação e subsequente sequenciamento de regiões genômicas DE ATÉ 20 KILOBASES DE DNA TUMORAL PARA ANÁLISE DE MUTAÇÕES SOMÁTICAS por qualquer técnica de sequenciamento (Sanger ou qualquer forma de sequenciamento de nova geração – NGS)	01/08/2021		31/10/2021	Incluído
Julho/2021	22	Terminologia de procedimentos e eventos em saúde	40503879	Captura/Amplificação e subsequente sequenciamento de regiões genômicas DE 20 KILOBASES A 1 MEGABASE DE DNA TUMORAL PARA ANÁLISE DE MUTAÇÕES SOMÁTICAS por qualquer técnica de sequenciamento (Sanger ou qualquer forma de sequenciamento de nova geração – NGS)	01/08/2021		31/10/2021	Incluído
Julho/2021	22	Terminologia de procedimentos e eventos em saúde	40503887	Captura/Amplificação e subsequente sequenciamento de regiões genômicas DE 1 MEGABASE A 30 MEGABASES DE DNA TUMORAL PARA ANÁLISE DE MUTAÇÕES SOMÁTICAS por qualquer técnica de sequenciamento (Sanger ou qualquer forma de sequenciamento de nova geração – NGS) 	01/08/2021		31/10/2021	Incluído
